Sanskrit Word,Transliteration,Meaning,Page Number
अतिशय,atishaya,wonderful,6
अतिशयोक्ति,atishayokti,exaggeration,6
अतीतः,atiitaH,surpassed,6
अतीत्य,atiitya,transcending,6
अतीन्द्रियं,atiindriyaM,transcendental,6
अतीव,atiiva,very much,6
अतुलनीय,atulaniiya,uncomparable,6
अतूल्यं,atuulyaM,uncomparable,6
अत्मानं,atmaanaM,the self,6
अत्यन्तं,atyantaM,the highest,6
अत्यथं,atyarthaM,highly,6
अत्यागिनां,atyaaginaaM,for those who are not renounced,6
अत्यानि,atyaani,surpassing,6
अत्युष्ण,atyushhNa,very hot,6
अत्येति,atyeti,surpasses,6
अत्र,atra,here,6
अथ,atha,thereupon,6
अथशब्द,athashabda,the word atha  since prayers are started with words atha or AUM,6
अथः,atha.rH,object or meaning,6
अथर्वण्वाक्यं,atharvaNvaakyaM, word piece,6
अथर्वंशीषं,atharvashiirshha,atharva,6
अथवंशीषं,atharvashiirshhaM,heading or head,6
अथवा,athavaa,or,6
अथातः,athaataH, then and therefore,6
अथौ,athau,or in other words,6
अद्‌,ad.h,to eat,6
अददत्‌,adadat.h,gave,6
अदम्भित्वं,adambhitvaM,pridelessness,6
अदशेः,adarshaH,mirror,6
अदक्षिण,adakShiNaM,with no remunerations to the priests,6
अदाह्यः,adaahyaH,unable to be burned,6
अदिती,aditii,the mother of the gods,6
अदुष्ट,adRishhTa,Unseen or fortune or luck,6
अद्ष्टपूवं,adRishhTapuurvaM,never seen before,6
अदेश,adesha,at an unpurified place,6
अदुत,adbhuta,the sentiment of marvel,7
अडतं,adbhutaM,wonderful,7
अतं,adbhuutaM,wonderfull,7
अद्वासन,advaasana,the prone posture,7
अद्वितीयः,advitiiyaH,the inseparable or the non-dual,7
अद्धेष्टा,adveshhTaa,nonenvious,7
अदधत,advaita,non duality of the universal spirit,7
अधः,adhaH, below,7
अधन,adhana,one without money,7
अधम,adhama,inferior,7
अधमां,adhamaaM,condemned,7
अधमाधम,adhamaadhama,the worst among the inferior,7
अधर,adhara,Lip,7
अधरः,adharaH,lips,7
अधरात्‌,adharaat.h,from below,7
अधमं,adharma,breach of duty,7
अधमं,adharmaM,irreligion,7
अधमः,adharmaH,irreligion,7
अधमचारी,adharmachaarii,impious,7
अधमस्य,adharmasya,of irreligion,7
अधिक,adhika,additional,7
अधिक,adhikaM,more,7
अधिकः,adhikaH,greater,7
अधिकतरः,adhikataraH,very much,7
अधिकार,adhikaara,title,7
अधिकारः,adhikaaraH,right,7
अधिकारितन्त्रं,adhikaaritantraM,bureaucracy,7
अधिक्षिपति,adhikShipati,to censure,7
अधिक्षेपः,adhikShepaH,accusation,7
अधिगच्छति,adhigachchhati,attains,7
अधिगम्य,adhigamya,having gone to,7
अधिदेव,adhidaiva,the principle of subjective existence,7
अधिदैवं,adhidaivaM,governing all the demigods,7
अधिनियमः,adhiniyamaH,act,7
अधिप,adhipa,protector,7
अधिपति,adhipati,lord,7
अधिभुत,adhibhuta,the principle of objective existence,7
अधिभूतं,adhibhuutaM,the material manifestation,7
अधिमात्र,adhimaatra,superior,7
अधिमात्रातम,adhimaatraatama,the highest or the supreme one,7
अधियज्ञ,adhiyaGYa,the principle of sacrifice or incarnation,8
अधियज्ञः,adhiyaGYaH,the Supersoul,8
अधिवास,adhivaasa,dwelling,8
अधिवेशनं,adhiveshanaM,conference,8
अधिष्ठानं,adhishhThaanaM,sitting place,8
अधिष्ठाय,adhishhThaaya,being so situated,8
अधिसरि,adhisari,competent candidate,8
अधीत,adhiita,studied,8
अधीता,adhiitaa,studied,8
अधीयानः,adhiiyaanaH,studied,8
अघुना,adhunaa,recently,8
अधोमुख,adhomukha,face downwards,8
अधोमुखश्वानासन,adhomukhashvaanaasana,the dog stretch posture,8
अध्ययन,adhyayana,study,8
अध्ययनैः,adhyayanaiH,or Vedic study,8
अध्यात्म,adhyaatma,the principle of self,8
अध्यात्मविद्या,adhyaatmavidyaa,spiritual knowledge,8
अध्यादेशः,adhyaadeshaH, ordinance,8
अध्यापयितुं,adhyaapayituM,to teach ,8
अध्यापिका,adhyaapikaa, lady teacher,8
अध्यास,adhyaasa,a case of mistaken identity,8
अध्येष्यते,adhyeshhyate,will study,8
अध्योपत्य,adhyopatya,Lordship,8
अध्वन्‌,adhvan.h,road,8
अध्वान्‌,adhvaan.h,road or path or way,8
अनघ,anagha,O sinless one,8
अनन्त,ananta,infinite or  a name of Vishnu,8
अनन्तं,anantaM,unlimited,8
अनन्तः,anantaH,Ananta,8
अनन्तरं,anantaraM,after,8
अनन्तरूप,anantaruupa,O unlimited form,8
अनन्तरूपं,anantaruupaM,unlimited form,8
अनन्तविजयं,anantavijayaM,the conch named Ananta vijaya,8
अनन्तवीर्यं,anantaviiryaa,unlimited potency,8
अनन्ताः,anantaaH,unlimited,8
अनन्तासन,anantaasana,Ananta’s posture,8
अनन्यचेताः,ananyachetaaH,without deviation of the mind,8
अनन्यभाक्‌,ananyabhaak.h,without deviation,8
अनन्यमनसः,ananyamanasaH,without deviation of the mind,9
अनन्यया,ananyayaa,unalloyed or undeviating,9
अनन्ययोगेन,ananyayogena,by unalloyed devotional service,9
अनन्याः,ananyaaH,having no other object,9
अनन्येन,ananyena,without division,9
अनपेक्षः,anapekShaH,neutral,9
अनपेक्ष्य,anapekShya,without considering the consequences,9
अनभिश्वङ्गः,anabhishva.ngaH,being without association,9
अनभिसन्धाय,anabhisandhaaya,without desiring,9
अनभिस्नेहः,anabhisnehaH,without affection,9
अनभिज्ञ,anabhiGYa,ignorant of or unacquainted with,9
अनयोः,anayoH,of them,9
अनर्थं,anarthaM,purposeless or in vain or danger,9
अनल,anala,fire,9
अनलः,analaH,fire,9
अनलेन,analena,by the fire,9
अनवाप्तं,anavaaptaM,wanted,9
अनश्नतः,anashnataH,abstaining from eating,9
अनश्नन्‌,anashnan.h,without eating ,9
अनसुयवे,anasuyave,to the nonenvious,9
अनसूयः,anasuuyaH,not envious,9
अनसूयन्तः,anasuuyantaH,without envy,9
अनहंवादि,anaha.nvaadi,without false ego,9
अनहङ्कारः,anaha.nkaaraH,being without false egoism,9
अनात्मनः,anaatmanaH,of one who has failed to control the mind,9
अनादर,anaadara,lack of respect,9
अनादि,anaadi,without beginning,9
अनादिं,anaadiM,without beginning,9
अनादित्वात्‌,anaaditvaat.h,due to eternity,9
अनानसफलम्‌,anaanasaphalam.h,pineapple,9
अनामयं,anaamayaM,without miseries,9
अनारम्भात्‌,anaarambhaat.h,by nonperformance,9
अनाय,anaarya,persons who do not know the value of life,9
अनावृत्तिं,anaavRittiM,no return,9
अनाशिनः,anaashinaH,never to be destroyed,9
अनाभितः,anaashritaH,without taking shelter,9
अनाहूत,anaahata,unbeaten,9
अनिकेतः,aniketaH,having no residence,9
अनिच्छन्‌,anichchhan.h,without desiring,9
अनित्य,anitya,uncertain or temporary  or ephemeral  or transient,9
अनित्यं,anityaM,temporary,9
अनित्यः,anityaH,nonpermanent,10
अनियमित,aniyamita,irregular,10
अनिर्देश्यं,anirdeshyaM,indefinite,10
अनिर्विण्णचेतस,anirviNNachetasa,without deviation,10
अनिलः,anilaH,wind or air,10
अनिलचुल्लि,anilachulli,gas ,10
अनिवायं,anivaarya,compulsary,10
अनिश्चयत्‌,anishchayat.h,due to non-determination  or having not decided,10
अनिष्ट,anishhTa,and undesirable,10
अनु,anu,following,10
अनुकम्पार्थं,anukampaarthaM,to show special mercy,10
अनुकारि,anukaari,like,10
अनुचारय,anuchaaraya,follow,10
अनुचिन्तयन्‌,anuchintayan.h,constantly thinking of,10
अनुतिष्ठन्ति,anutishhThanti,regularly perform,10
अनुत्तमं,anuttamaM,the finest,10
अनुत्तमां,anuttamaaM,the highest,10
अनुदानं,anudaanaM,donation or  grant,10
अनुदिनं,anudinaM,daily,10
अनुद्दिश्य,anuddishya,having targetted or aimed at,10
अनुद्योगिता,anudyogitaa,unemployment,10
अनुद्योगी,anudyogii,unemployed,10
अनुद्विग्नमनाः,anudvignamanaaH,without being agitated in mind,10
अनुद्धगकरं,anudvegakaraM,not agitating,10
अनुपकारिणे,anupakaariNe,irrespective of return,10
अनुपश्यति,anupashyati,one tries to see through authority,10
अनुपश्यन्ति,anupashyanti,can see,10
अनुपश्यामि,anupashyaami,do I foresee,10
अनुप्रपन्नाः,anuprapannaaH,following,10
अनुबन्ध,anubandha,result or  effect,10
अनुबन्धं,anubandhaM,of future bondage,10
अनुबन्धः,anubandhaH,annexure,10
अनुबन्धीनि,anubandhiini,bound,10
अनुबन्धे,anubandhe,at the end,10
अनुभवः,anubhavaH, experience,10
अनुमन्ता,anumantaa,permitter,10
अनुमातुं,anumaatuM,to guess,10
अनुमान,anumaana,an inference,10
अनुमानात्‌,anumaanaat.h,from guessing or induction,10
अनुयायिनः,anuyaayinaH,followers,10
अनुरज्यते,anurajyate,is becoming attached,11
अनुराधा,anuraadhaa,Seventeenth nakshatra,11
अनुलिप्त,anulipta,smeared,11
अनुलेख,anulekha,destiny,11
अनुलेपनं,anulepanaM,smeared with,11
अनुलोम,anuloma,with the grain or naturally,11
अनुवतते,anuvartate,follows in the footsteps,11
अनुवर्तन्ते,anuvartante,would follow,11
अनुवतेयति,anuvartayati,adopt,11
अनुवादं,anuvaadaM,translation,11
अनुवाद्य,anuvaadya,having translated,11
अनुविधीयते,anuvidhiiyate,becomes constantly engaged,11
अनुशासितारं,anushaasitaaraM,the controller,11
अनुशुश्रुम,anushushruma,I have heard by disciplic succession,11
अनुशोचन्ति,anushochanti,lament,11
अनुशोचितुं,anushochituM,to lament,11
अनुषज्जते,anushhajjate,one necessarily engages,11
अनुष्टुप्‌,anushhTup.h,the format’s name,11
अनुष्ठन,anushhThana," performance, execution",11
अनुसन्ततानि,anusantataani,extended,11
अनुसन्धानं,anusandhaanaM, investigation,11
अनुसार,anusaara,following or customary,11
अनुसूची,anusuuchii,schedule,11
अनुस्मर,anusmara,go on remembering,11
अनुस्मरन्‌,anusmaran.h,remembering,11
अनुस्मरेत्‌,anusmaret.h,always thinks of,11
अनुस्वारः,anusvaaraH,the accompanying sound or letter ,11
अनूचानं,anuuchaanaM,teacher?,11
अनृत,anRita,False,11
अनेक,aneka,Many,11
अनेकधा,anekadhaa,into many,11
अनेकवचनं,anekavachanaM,plural,11
अनेकानि,anekaani,many,11
अनेन,anena,by this,11
अन्गं,angaM,body,11
अन्त,anta,end,11
अन्तं,antaM,or end,11
अन्तः,antaH,inside,11
अन्तःकरण,antaHkaraNa,Mind,11
अन्तःपेटिका,antaHpeTikaa, drawer,11
अन्तकाले,antakaale,at the end of life,11
अन्तगतं,antagataM,completely eradicated,12
अन्तर,antara,Sub period in a Dasha,12
अन्तरं,antaraM,between,12
अन्तरङ्क,antara.nga,the practices of pranayama and pratyahara,12
अन्तरदेशीय,antaradeshiiya,among different countries mainly for transaction,12
अन्तरात्मना,antaraatmanaa,within himself,12
अन्तरात्मा,antaraatmaa,the inner self or residing in the heart,12
अन्तराय,antaraaya,obstacle,12
अन्तरारामः,antaraaraamaH,actively enjoying within,12
अन्तरिक्ष,antarikSha,space,12
अन्तरिक्षं,antarikShaM,space or sky,12
अन्तरे,antare,between,12
अन्तरेण,antareNa,without,12
अन्तर्ज्योतिः,antarjyotiH,aiming within,12
अन्तयुंतकम्‌,antaryutakam.h,vest,12
अन्तसुंखः,antarsukhaH,happy from within,12
अन्तवत्‌,antavat.h,perishable,12
अन्तवन्तः,antavantaH,perishable,12
अन्तिके,antike,near,12
अन्ते,ante,after,12
अन्ध,andha,blind,12
अन्धकार,andhakaara,darkness,12
अन्न,anna,food,12
अन्नं,annaM,foodstuff,12
अन्नात्‌,annaat.h,from grains,12
अन्य,anya,other person,12
अन्यं,anyaM,other,12
अन्यः,anyaH,another,12
अन्यत्‌,anyat.h,other,12
अन्यत्र,anyatra,somewhere else,12
अन्यथा,anyathaa,other,12
अन्यया,anyayaa,by the other,12
अन्यां,anyaaM,another,12
अन्यान्‌,anyaan.h,others,12
अन्यानि,anyaani,different,12
अन्यायेन,anyaayena,illegally,12
अन्ये,anye,others,12
अन्येन,anyena,by another,12
अन्येभ्यः,anyebhyaH,from others,12
अन्यैः,anyaiH,by others,12
अन्योन्य,anyonya,mutual,12
अन्वय,anvaya,Family,12
अन्वशोचः,anvashochaH,you are lamenting,12
अन्विच्छ,anvichchha,try  for,13
अन्विति,anvita,Followed or attended by or  in company with or joined by or  having ossessed of ,13
अन्विताः,anvitaaH,absorbed,13
अन्वेषणम्‌,anveshhaNam.h, search or exploration,13
अपकृ,apakRi,to harm,13
अपकेन्द्रण,apakendraNa,centrifugation,13
अपङ्ग,apa.nga,handicapped,13
अपची,apachii,to decrease,13
अपठम्‌,apaTham.h,read,13
अपण्डित,apaNDita,someone who is not a scholar,13
अपत्य,apatya,Progeny,13
अपनुद्यात्‌,apanudyaat.h,can drive away,13
अपमा,apamaa,comparison,13
अपमानयोः,apamaanayoH,and dishonour,13
अपर,apara,other,13
अपरं,aparaM,junior,13
अपररात्र,apararaatra,dawn,13
अपरस्पर,aparaspara,without cause,13
अपरा,aparaa,lower,13
अपराजितः,aparaajitaH,who had never been vanquished,13
अपराजीत,aparaajiita,Unconquered,13
अपराणि,aparaaNi,others,13
अपरान्‌,aparaan.h,others,13
अपरिग्रह,aparigraha,abstention from greed or non possessiveness,13
अपरिमेयं,aparimeyaM,immeasurable,13
अपरिहार्ये,aparihaarye,of that which is unavoidable,13
अपरे,apare,others,13
अपयाप्तं,aparyaaptaM,immeasurable,13
अपलायनं,apalaayanaM,not fleeing,13
अपवग,apavarga,heaven or liberation,13
अपवहनं,apavahanaM,seducetion,13
अपवाद,apavaada,exceptional,13
अपविघ्नः,apavighnaH,without obstacles,13
अपश्यत्‌,apashyat.h,he could see,13
अपस्मार,apasmaara,forgetful,13
अपस्मारः,apasmaaraH, epilepsy,13
अपहरण,apaharaNa,stealing,13
अपहरणं,apaharaNaM,abduction or  kipnapping,13
अपहतांर,apahartaaraM,the remover or destroyer,13
अपहत,apahRita,stolen,13
अपात्रेभ्यः,apaatrebhyaH,to unworthy persons,14
अपान,apaana,one of the vital airs and controls the elimination of bodily wastes,14
अपानं,apaanaM,the air going downward,14
अपाने,apaane,in the air which acts downward,14
अपापो,apaapo,without sins,14
अपायिनः,apaayinaH,disappearing,14
अपारा,apaaraa,one who has no limits,14
अपावृतं,apaavRitaM,wide open,14
अपि,api,also,14
अपीतेषु,apiiteshhu, having not drunk or not taken water ,14
अपुण्य,apuNya,vice,14
अपुनरावृत्तिं,apunaraavRittiM,to liberation,14
अपुष्प,apushhpa,one without flowers,14
अपेक्ष,apekSh.h,to expect,14
अपेक्षा,apekShaa,expectation or hope,14
अपेशुनं,apaishunaM,aversion to fault finding,14
अपोहनं,apohanaM,forgetfulness,14
अप्ययौ,apyayau,disappearance,14
अप्रकाशः,aprakaashaH,darkness,14
अप्रतिमप्रभाव,apratimaprabhaava,O immeasurable power,14
अप्रतिष्ठं,apratishhThaM,without foundation,14
अप्रतिष्ठः,apratishhThaH,without any position,14
अप्रतीकारं,apratiikaaraM,without being resistant,14
अप्रदाय,apradaaya,without offering,14
अप्रमेय,aprameya,the ununderstandable,14
अप्रमेयं,aprameyaM,immeasurable,14
अप्रमेयस्य,aprameyasya,immeasurable,14
अप्रवृत्तिः,apravRittiH,inactivity,14
अप्राप्य,apraapya,failing to attain,14
अप्रियं,apriyaM,the unpleasant,14
अप्रियः,apriyaH,and the undesirable,14
अप्सु,apsu,in water,14
अफल,aphala,one without fruit,14
अफलप्रेप्सुना,aphalaprepsunaa,by one without desire for fruitive result,14
अफलाकाङ्क्षभिः,aphalaakaa.nkShibhiH,by those devoid of desire for result,14
अवन्धघु,abandhu,one who does not have any brothers  or  kinmen,14
अबल,abala,helpless  mainely related to woman,14
अबला,abalaa,helpless Woman,14
अबुद्धयः,abuddhayaH,less intelligent persons,14
अबोध,abodha,Ignorance,14
अब्द,abda,Season of plenty,15
अब्धी,abdhii,ocean or sea,15
अब्रवीत्‌,abraviit.h,spoke,15
अब्रह्मण्य,abrahmaNya,Not kosher,15
अभक्ताय,abhaktaaya,to one who is not a devotee,15
अभय,abhaya,freedom from fear,15
अभयं,abhayaM,fearlessness,15
अभये,abhaye,and fearlessness,15
अभवत्‌,abhavat.h,became,15
अभविष्यत्‌,abhavishhyat.h,will become,15
अभावः,abhaavaH,changing quality,15
अभावयतः,abhaavayataH,of one who is not fixed,15
अभाषत,abhaashhata,began to speak,15
अभि,abhi,preposition,15
अभिज्ञतड़,abhi+taD.h,to strike,15
अभिकथनं,abhikathanaM,allegation,15
अभिक्रम,abhikrama,in endeavouring,15
अभिचार,abhichaara,black magic,15
अभिजनवान्‌,abhijanavaan.h,surrounded by aristocratic relatives,15
अभिजातः,abhijaataH,born of,15
अभिजातस्य,abhijaatasya,of one who is born of,15
अभिजानन्ति,abhijaananti,they know,15
अभिजानाति,abhijaanaati,does know,15
अभिजित,abhijita,A nakshatra between uttaraashhDhaa and shravaNa mainly centred on the star vega ,15
अभिजिनमुहूतं,abhijin.hmuhuurta,the most auspicious moment,15
अभितः,abhitaH,everywhere,15
अभिद्रोहः,abhidrohaH,insurgency,15
अभिधानं,abhidhaanaM, designation,15
अभिधीयते,abhidhiiyate,is called,15
अभिनन्दती,abhinandatii,praises,15
अभिनय,abhinaya,acting,15
अभिनिवेश,abhinivesha,possessiveness,15
अभिन्यासः,abhinyaasaH, layout,15
अभिपुष्टिः,abhipushhTiH,affirmation,15
अभिप्रवृत्तः,abhipravRittaH,being fully engaged,15
अभिप्रायः,abhipraayaH,opinion,15
अभिभवति,abhibhavati,transforms,15
अभिभवात्‌,abhibhavaat.h,having become predominant,15
अभिभूय,abhibhuuya,surpassing,16
अभिमनः,abhimanaH,conceit,16
अभिमान,abhimaana,self-importance,16
अभिमुखाः,abhimukhaaH,towards,16
अभियाचना,abhiyaachanaa,demand,16
अभियोग,abhiyoga,prosecution,16
अभियोगः,abhiyogaH,prosecution,16
अभिरतः,abhirataH,following,16
अभिरक्षन्तु,abhirakShantu,should give support,16
अभिविज्वलन्ति,abhivijvalanti,and are blazing,16
अभिषिंचति,abhishhi.nchati,performs puuja  by pouring water etc  on the idol,16
अभिषेकं,abhishhekaM,ablution,16
अभिसन्धाय,abhisandhaaya,desiring,16
अभिहिता,abhihitaa,described,16
अभीप्सित,abhiipsita,desired,16
अभ्यधिकः,abhyadhikaH,greater,16
अभ्यनुनादयन्‌,abhyanunaadayan.h,resounding,16
अभ्यच्यं,abhyarchya,by worshiping,16
अभ्यसनं,abhyasanaM,practice,16
अभ्यसूयकाः,abhyasuuyakaaH,envious,16
अभ्यसूयति,abhyasuuyati,is envious,16
अभ्यसूयन्तः,abhyasuuyantaH,out of envy,16
अभ्यहून्यन्त,abhyahanyanta,were simultaneously sounded,16
अभ्याश,abhyaasha,outskirts,16
अभ्यास,abhyaasa,study,16
अभ्यासयोग,abhyaasayoga,by practice,16
अभ्यासयोगेन,abhyaasayogena,by the practice of devotional service,16
अभ्यासात्‌,abhyaasaat.h,than practice,16
अभ्यासे,abhyaase,in practice,16
अभ्यासेन,abhyaasena,by practice,16
अभ्युत्थानं,abhyutthaanaM,predominance,16
अभ्युदय,abhyudaya,rise  or  prosperity,16
अभ्र,abhraM,cloud,16
अमंद,ama.nda,not slow or dull or active or intelligent or sharp or strong or  violent or  not little,16
अमन्यत,amanyata,believed,16
अमष,amarshha,anger,16
अमल,amala,without rubbish,16
अमलं,amalaM,clean,16
अमलान्‌,amalaan.h,pure,17
अमानित्वं,amaanitvaM,humility,17
अमितविक्रमः,amitavikramaH,and unlimited force,17
अमी,amii,all those,17
अमुत्र,amutra,in the next life,17
अमूढाः,amuuDhaaH,unbewildered,17
अमूल्य,amuulya,priceless or excellent,17
अमृत,amRita,of ambrosia or potion to cause immortality,17
अमृतं,amRitaM,veritable nectar,17
अमृतत्त्वाय,amRitattvaaya,for liberation,17
अमृतबिन्द्‌,amRitabinduu,a drop of nectar,17
अमृतस्य,amRitasya,of the immortal,17
अमृतोपमं,amRitopamaM,just like nectar,17
अमेध्यं,amedhyaM,untouchable,17
अम्बन्ध,ambandha,relation  or  connection,17
अम्बर,ambara,aakaasha,17
अम्बरं,ambaraM,sky or garment,17
अम्बा,ambaa,mother,17
अम्बु,ambu,water,17
अम्बुधि,ambudhi,sea,17
अम्भस्‌,ambhas.h, water,17
अम्भसा,ambhasaa,by the water,17
अम्भसि,ambhasi,on the water,17
अम्भुरुहं,ambhuruhaM,lotus,17
अम्ल,amla, sour,17
अयं,ayaM,him ,17
अयजन्त,ayajanta,third person plur imperfect aatmanepada of yaj or to worship,17
अयतिः,ayatiH,the unsuccessful transcendentalist,17
अयथावत्‌,ayathaavat.h,imperfectly,17
अयनेषु,ayaneshhu,in the strategic points,17
अयम,ayama,length or extension or restraint,17
अयशः,ayashaH,infamy,17
अयसः,ayasaH, iron,17
अयज्ञस्य,ayaGYasya,for one who performs no sacrifice,17
अयुक्तः,ayuktaH,one who is not in KRishhNa consciousness,17
अयुक्तस्य,ayuktasya,of one who is not connected ,17
अयोगतः,ayogataH,without devotional service,17
अयोजयिष्यत्‌,ayojayishhyat.h,if one does not join or connect,17
अयोभाण्डम्‌,ayobhaaNDam.h,a wooden barrel,17
अरण्यम्‌,araNyam.h,jungle or forest,17
अरण्यौकसः,araNyaukasaH,forester’s,18
अरतिः,aratiH,being without attachment,18
अरागद्षतः,araagadveshhataH,without love or hatred,18
अरि,ari,enemies,18
अरिभाव,aribhaava,the sixth house in a Rashi or bhaava chart,18
अरिषु,arishhu,on enemies,18
अरिष्टनेमिः,arishhTanemiH,the appelation to Garuda,18
अरिसूदन,arisuudana,O killer of the enemies,18
अरोगित,arogita,diseaselessness,18
अकं,arka,essence or a name of Sun,18
अघं,argha,value,18
अर्चति,archati,to worship,18
अजन,arjana,obtaining,18
अजेनं,arjanaM,the earning or acquiring or acqusition,18
अजुन,arjuna,a disciple of Krishna or hero of the Mahabharata,18
अजुनं,arjunaM,unto Arjuna,18
अजनः,arjunaH,Arjuna,18
अथं,artha,money,18
अथेन्‌,arthan.h,and economic development,18
अर्थनैपुण,arthanaipuNa,efficient in polity,18
अथंप्राप्तिभेवति,arthapraaptirbhavati,wealth attainment becomes,18
अर्थयते,arthayate, to request,18
अथेवान्‌,arthavaan.h,one with money,18
अर्थस्य,arthasya,wealth or meaning,18
अथार्थ,arthaarthii,one who desires material gain,18
अर्थियं,arthiyaM,meant,18
